"","sciname","kingdom","phylum","class","order","family","genus","common_name","food_desc","food_group","refuse","yield","notes","acetic acid","alanine","alpha carotene","alpha tocopherol","amino acids total","amino acids total aromatic","amino acids total sulphur containing","ammonia","ammonia derived from non proteinous compounds","arginine","ascorbic acid","ash","aspartic acid","beta carotene","beta carotene equivalents","beta cryptoxanthin","beta tocopherol","biotin","calcium","carbohydrate available expressed in mono saccharide equivalents","carbohydrate total calculated by difference","cholesterol","chromium","cooking oil","copper","cystine","delta tocopherol","dietary fiber total","energy kcal","energy kj","fatty acid 10 0","fatty acid 10 1","fatty acid 12 0","fatty acid 14 0","fatty acid 14 1","fatty acid 15 0","fatty acid 15 0 anteiso acid","fatty acid 15 1","fatty acid 16 0","fatty acid 16 1","fatty acid 16 2","fatty acid 16 3","fatty acid 16 4","fatty acid 17 0","fatty acid 17 1","fatty acid 18 0","fatty acid 18 1 n 7 cis","fatty acid 18 1 n 9 cis","fatty acid 18 1 undifferentiated","fatty acid 18 2 n 6","fatty acid 18 3 n 3","fatty acid 18 3 n 6","fatty acid 18 4 n 3","fatty acid 20 0","fatty acid 20 1","fatty acid 20 2 n 6","fatty acid 20 3 n 6","fatty acid 20 4 n 3","fatty acid 20 4 n 6","fatty acid 20 5 n 3","fatty acid 21 5 n 3","fatty acid 22 0","fatty acid 22 1","fatty acid 22 2","fatty acid 22 4 n 6","fatty acid 22 5 n 3","fatty acid 22 5 n 6","fatty acid 22 6 n 3","fatty acid 24 0","fatty acid 24 1","fatty acid 4 0","fatty acid 6 0","fatty acid 7 0","fatty acid 8 0","fatty acid mono unsaturated","fatty acid poly unsaturated","fatty acid saturated","fatty acid triacyl glycerol equivalents","fatty acid unidentified","fatty acids total","fatty acids total mono unsaturated","fatty acids total n 3 poly unsaturated","fatty acids total n 6 poly unsaturated","fatty acids total poly unsaturated","fatty acids total saturated","folate","gamma tocopherol","glutamic acid","glycine","histidine","iodine","iron","isoleucine","leucine","lipid y","lysine","magnesium","manganese","methionine","molybdenum","na","niacin","organic acids total","pantothenic acid","phenylalanine","phosphorus","potassium","proline","protein","protein calculated as the sum of amino acid residues","protein calculated from reference nitrogen","protein the sum of amino acid residues","remarks x","retinol","retinol activity equivalents","riboflavin","salt equivalents","selenium","serine","sodium","thiamin","threonine","triacyl glycerol equivalents","tryptophan","tyrosine","valine","vitamin b 12","vitamin b 6","vitamin d","vitamin k","water","zinc"
"26","Saccharina angustata","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Enaga-oni-kombu"", dried",9,"0","-",NA,NA,"780","0","0.7","10000","640","430",NA,NA,"360","3","21.9","1400","1400","1400","31","0",NA,"650",NA,"55.7","Tr",NA,NA,"7.0000000000000007E-2","240","0","24.9","138","577","0","0","0","51","0","0",NA,"0","120","22","0","0","0","0","0","5",NA,NA,"93","54","31","16","63","3","2","2","3","4","100","70","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.12","0.35","0.18","0.7",NA,"0.64","0.12","0.17","0.18","0.35","0.18","190","0","2300","540","190",NA,"2.5","380","690","1.0","490","490","0.20","180",NA,"Energy: tentative value","1.5",NA,"0.27","420","340","7300","560","11.0","8.8","11.0","8.8","Estimation from 09017","0","120","0.25","6.1",NA,"420","2400","0.10","470","0.7","130","210","530","0.1","0.03","0","110","10.4","1.0"
"27","Saccharina japonica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Enaga-oni-kombu"", dried",9,"0","-",NA,NA,"780","0","0.7","10000","640","430",NA,NA,"360","3","21.9","1400","1400","1400","31","0",NA,"650",NA,"55.7","Tr",NA,NA,"7.0000000000000007E-2","240","0","24.9","138","577","0","0","0","51","0","0",NA,"0","120","22","0","0","0","0","0","5",NA,NA,"93","54","31","16","63","3","2","2","3","4","100","70","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.12","0.35","0.18","0.7",NA,"0.64","0.12","0.17","0.18","0.35","0.18","190","0","2300","540","190",NA,"2.5","380","690","1.0","490","490","0.20","180",NA,"Energy: tentative value","1.5",NA,"0.27","420","340","7300","560","11.0","8.8","11.0","8.8","Estimation from 09017","0","120","0.25","6.1",NA,"420","2400","0.10","470","0.7","130","210","530","0.1","0.03","0","110","10.4","1.0"
"28","Saccharina ochotensis","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Enaga-oni-kombu"", dried",9,"0","-",NA,NA,"780","0","0.7","10000","640","430",NA,NA,"360","3","21.9","1400","1400","1400","31","0",NA,"650",NA,"55.7","Tr",NA,NA,"7.0000000000000007E-2","240","0","24.9","138","577","0","0","0","51","0","0",NA,"0","120","22","0","0","0","0","0","5",NA,NA,"93","54","31","16","63","3","2","2","3","4","100","70","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.12","0.35","0.18","0.7",NA,"0.64","0.12","0.17","0.18","0.35","0.18","190","0","2300","540","190",NA,"2.5","380","690","1.0","490","490","0.20","180",NA,"Energy: tentative value","1.5",NA,"0.27","420","340","7300","560","11.0","8.8","11.0","8.8","Estimation from 09017","0","120","0.25","6.1",NA,"420","2400","0.10","470","0.7","130","210","530","0.1","0.03","0","110","10.4","1.0"
"29","Saccharina religiosa　","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Enaga-oni-kombu"", dried",9,"0","-",NA,NA,"780","0","0.7","10000","640","430",NA,NA,"360","3","21.9","1400","1400","1400","31","0",NA,"650",NA,"55.7","Tr",NA,NA,"7.0000000000000007E-2","240","0","24.9","138","577","0","0","0","51","0","0",NA,"0","120","22","0","0","0","0","0","5",NA,NA,"93","54","31","16","63","3","2","2","3","4","100","70","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.12","0.35","0.18","0.7",NA,"0.64","0.12","0.17","0.18","0.35","0.18","190","0","2300","540","190",NA,"2.5","380","690","1.0","490","490","0.20","180",NA,"Energy: tentative value","1.5",NA,"0.27","420","340","7300","560","11.0","8.8","11.0","8.8","Estimation from 09017","0","120","0.25","6.1",NA,"420","2400","0.10","470","0.7","130","210","530","0.1","0.03","0","110","10.4","1.0"
"30","Saccharina longissima","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Enaga-oni-kombu"", dried",9,"0","-",NA,NA,"780","0","0.7","10000","640","430",NA,NA,"360","3","21.9","1400","1400","1400","31","0",NA,"650",NA,"55.7","Tr",NA,NA,"7.0000000000000007E-2","240","0","24.9","138","577","0","0","0","51","0","0",NA,"0","120","22","0","0","0","0","0","5",NA,NA,"93","54","31","16","63","3","2","2","3","4","100","70","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.12","0.35","0.18","0.7",NA,"0.64","0.12","0.17","0.18","0.35","0.18","190","0","2300","540","190",NA,"2.5","380","690","1.0","490","490","0.20","180",NA,"Energy: tentative value","1.5",NA,"0.27","420","340","7300","560","11.0","8.8","11.0","8.8","Estimation from 09017","0","120","0.25","6.1",NA,"420","2400","0.10","470","0.7","130","210","530","0.1","0.03","0","110","10.4","1.0"
"31","Saccharina sculpera","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Naga-kombu"", dried",9,"0","-","Estimation from 09017",NA,"590","0","0.3","7800","480","320",NA,NA,"270","20","21.7","1000","780","780","0","0","15.7","430",NA,"58.5","0","5",NA,"0.19","180","0","36.799999999999997","140","586",NA,NA,NA,"100",NA,"5",NA,NA,"240","30",NA,NA,NA,"2","4","25",NA,NA,"300","85","23","19","41","9",NA,NA,"5","5","120","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.34","0.35","0.39","1.1",NA,"1.07","0.34","0.13","0.22","0.35","0.39","38","0","1800","410","140","210000","3.0","290","520","1.5","370","700","0.41","140","15","Energy: tentative value","2.1",NA,"0.20","320","320","5200","430","8.3000000000000007","6.7","8.3000000000000007","6.7","Estimation from 09017","0","65","0.41","7.6","2","320","3000","0.19","360","1.1","95","160","400","0.1","0.02","0","240","10.0","0.9"
"32","Saccharina diabolica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Naga-kombu"", dried",9,"0","-","Estimation from 09017",NA,"590","0","0.3","7800","480","320",NA,NA,"270","20","21.7","1000","780","780","0","0","15.7","430",NA,"58.5","0","5",NA,"0.19","180","0","36.799999999999997","140","586",NA,NA,NA,"100",NA,"5",NA,NA,"240","30",NA,NA,NA,"2","4","25",NA,NA,"300","85","23","19","41","9",NA,NA,"5","5","120","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.34","0.35","0.39","1.1",NA,"1.07","0.34","0.13","0.22","0.35","0.39","38","0","1800","410","140","210000","3.0","290","520","1.5","370","700","0.41","140","15","Energy: tentative value","2.1",NA,"0.20","320","320","5200","430","8.3000000000000007","6.7","8.3000000000000007","6.7","Estimation from 09017","0","65","0.41","7.6","2","320","3000","0.19","360","1.1","95","160","400","0.1","0.02","0","240","10.0","0.9"
"33","Saccharina angustata","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Naga-kombu"", dried",9,"0","-","Estimation from 09017",NA,"590","0","0.3","7800","480","320",NA,NA,"270","20","21.7","1000","780","780","0","0","15.7","430",NA,"58.5","0","5",NA,"0.19","180","0","36.799999999999997","140","586",NA,NA,NA,"100",NA,"5",NA,NA,"240","30",NA,NA,NA,"2","4","25",NA,NA,"300","85","23","19","41","9",NA,NA,"5","5","120","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.34","0.35","0.39","1.1",NA,"1.07","0.34","0.13","0.22","0.35","0.39","38","0","1800","410","140","210000","3.0","290","520","1.5","370","700","0.41","140","15","Energy: tentative value","2.1",NA,"0.20","320","320","5200","430","8.3000000000000007","6.7","8.3000000000000007","6.7","Estimation from 09017","0","65","0.41","7.6","2","320","3000","0.19","360","1.1","95","160","400","0.1","0.02","0","240","10.0","0.9"
"34","Saccharina japonica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Naga-kombu"", dried",9,"0","-","Estimation from 09017",NA,"590","0","0.3","7800","480","320",NA,NA,"270","20","21.7","1000","780","780","0","0","15.7","430",NA,"58.5","0","5",NA,"0.19","180","0","36.799999999999997","140","586",NA,NA,NA,"100",NA,"5",NA,NA,"240","30",NA,NA,NA,"2","4","25",NA,NA,"300","85","23","19","41","9",NA,NA,"5","5","120","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.34","0.35","0.39","1.1",NA,"1.07","0.34","0.13","0.22","0.35","0.39","38","0","1800","410","140","210000","3.0","290","520","1.5","370","700","0.41","140","15","Energy: tentative value","2.1",NA,"0.20","320","320","5200","430","8.3000000000000007","6.7","8.3000000000000007","6.7","Estimation from 09017","0","65","0.41","7.6","2","320","3000","0.19","360","1.1","95","160","400","0.1","0.02","0","240","10.0","0.9"
"35","Saccharina ochotensis","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Naga-kombu"", dried",9,"0","-","Estimation from 09017",NA,"590","0","0.3","7800","480","320",NA,NA,"270","20","21.7","1000","780","780","0","0","15.7","430",NA,"58.5","0","5",NA,"0.19","180","0","36.799999999999997","140","586",NA,NA,NA,"100",NA,"5",NA,NA,"240","30",NA,NA,NA,"2","4","25",NA,NA,"300","85","23","19","41","9",NA,NA,"5","5","120","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.34","0.35","0.39","1.1",NA,"1.07","0.34","0.13","0.22","0.35","0.39","38","0","1800","410","140","210000","3.0","290","520","1.5","370","700","0.41","140","15","Energy: tentative value","2.1",NA,"0.20","320","320","5200","430","8.3000000000000007","6.7","8.3000000000000007","6.7","Estimation from 09017","0","65","0.41","7.6","2","320","3000","0.19","360","1.1","95","160","400","0.1","0.02","0","240","10.0","0.9"
"36","Saccharina religiosa　","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Naga-kombu"", dried",9,"0","-","Estimation from 09017",NA,"590","0","0.3","7800","480","320",NA,NA,"270","20","21.7","1000","780","780","0","0","15.7","430",NA,"58.5","0","5",NA,"0.19","180","0","36.799999999999997","140","586",NA,NA,NA,"100",NA,"5",NA,NA,"240","30",NA,NA,NA,"2","4","25",NA,NA,"300","85","23","19","41","9",NA,NA,"5","5","120","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.34","0.35","0.39","1.1",NA,"1.07","0.34","0.13","0.22","0.35","0.39","38","0","1800","410","140","210000","3.0","290","520","1.5","370","700","0.41","140","15","Energy: tentative value","2.1",NA,"0.20","320","320","5200","430","8.3000000000000007","6.7","8.3000000000000007","6.7","Estimation from 09017","0","65","0.41","7.6","2","320","3000","0.19","360","1.1","95","160","400","0.1","0.02","0","240","10.0","0.9"
"37","Saccharina longissima","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Naga-kombu"", dried",9,"0","-","Estimation from 09017",NA,"590","0","0.3","7800","480","320",NA,NA,"270","20","21.7","1000","780","780","0","0","15.7","430",NA,"58.5","0","5",NA,"0.19","180","0","36.799999999999997","140","586",NA,NA,NA,"100",NA,"5",NA,NA,"240","30",NA,NA,NA,"2","4","25",NA,NA,"300","85","23","19","41","9",NA,NA,"5","5","120","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.34","0.35","0.39","1.1",NA,"1.07","0.34","0.13","0.22","0.35","0.39","38","0","1800","410","140","210000","3.0","290","520","1.5","370","700","0.41","140","15","Energy: tentative value","2.1",NA,"0.20","320","320","5200","430","8.3000000000000007","6.7","8.3000000000000007","6.7","Estimation from 09017","0","65","0.41","7.6","2","320","3000","0.19","360","1.1","95","160","400","0.1","0.02","0","240","10.0","0.9"
"38","Saccharina sculpera","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kezuri-kombu"" (dried and thinly shaved)",9,"0","-",NA,NA,"460","0","0.8","6100","380","250",NA,NA,"210","19","18.0","800","760","760","19","0",NA,"650",NA,"50.2","0",NA,NA,"0.08","140","0","28.2","117","490",NA,NA,NA,"70",NA,"4",NA,NA,"170","22",NA,NA,NA,"1","Tr","17",NA,NA,"220","33","2","3","3","8","2","7","2","Tr","19","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.24","0.08","0.27","0.6","4","0.59","0.24","0.01","0.06","0.08","0.27","32","0","1400","320","110",NA,"3.6","230","410","0.9","290","520","0.19","110",NA,"Energy: tentative value","1.0",NA,"0.14000000000000001","250","190","4800","330","6.5","5.2","6.5","5.2","Estimation from 09017","0","64","0.28000000000000003","5.3",NA,"250","2100","0.33","280","0.6","75","120","310","0","0.02","0","150","24.4","1.1000000000000001"
"39","Saccharina diabolica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kezuri-kombu"" (dried and thinly shaved)",9,"0","-",NA,NA,"460","0","0.8","6100","380","250",NA,NA,"210","19","18.0","800","760","760","19","0",NA,"650",NA,"50.2","0",NA,NA,"0.08","140","0","28.2","117","490",NA,NA,NA,"70",NA,"4",NA,NA,"170","22",NA,NA,NA,"1","Tr","17",NA,NA,"220","33","2","3","3","8","2","7","2","Tr","19","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.24","0.08","0.27","0.6","4","0.59","0.24","0.01","0.06","0.08","0.27","32","0","1400","320","110",NA,"3.6","230","410","0.9","290","520","0.19","110",NA,"Energy: tentative value","1.0",NA,"0.14000000000000001","250","190","4800","330","6.5","5.2","6.5","5.2","Estimation from 09017","0","64","0.28000000000000003","5.3",NA,"250","2100","0.33","280","0.6","75","120","310","0","0.02","0","150","24.4","1.1000000000000001"
"40","Saccharina angustata","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kezuri-kombu"" (dried and thinly shaved)",9,"0","-",NA,NA,"460","0","0.8","6100","380","250",NA,NA,"210","19","18.0","800","760","760","19","0",NA,"650",NA,"50.2","0",NA,NA,"0.08","140","0","28.2","117","490",NA,NA,NA,"70",NA,"4",NA,NA,"170","22",NA,NA,NA,"1","Tr","17",NA,NA,"220","33","2","3","3","8","2","7","2","Tr","19","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.24","0.08","0.27","0.6","4","0.59","0.24","0.01","0.06","0.08","0.27","32","0","1400","320","110",NA,"3.6","230","410","0.9","290","520","0.19","110",NA,"Energy: tentative value","1.0",NA,"0.14000000000000001","250","190","4800","330","6.5","5.2","6.5","5.2","Estimation from 09017","0","64","0.28000000000000003","5.3",NA,"250","2100","0.33","280","0.6","75","120","310","0","0.02","0","150","24.4","1.1000000000000001"
"41","Saccharina japonica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kezuri-kombu"" (dried and thinly shaved)",9,"0","-",NA,NA,"460","0","0.8","6100","380","250",NA,NA,"210","19","18.0","800","760","760","19","0",NA,"650",NA,"50.2","0",NA,NA,"0.08","140","0","28.2","117","490",NA,NA,NA,"70",NA,"4",NA,NA,"170","22",NA,NA,NA,"1","Tr","17",NA,NA,"220","33","2","3","3","8","2","7","2","Tr","19","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.24","0.08","0.27","0.6","4","0.59","0.24","0.01","0.06","0.08","0.27","32","0","1400","320","110",NA,"3.6","230","410","0.9","290","520","0.19","110",NA,"Energy: tentative value","1.0",NA,"0.14000000000000001","250","190","4800","330","6.5","5.2","6.5","5.2","Estimation from 09017","0","64","0.28000000000000003","5.3",NA,"250","2100","0.33","280","0.6","75","120","310","0","0.02","0","150","24.4","1.1000000000000001"
"42","Saccharina ochotensis","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kezuri-kombu"" (dried and thinly shaved)",9,"0","-",NA,NA,"460","0","0.8","6100","380","250",NA,NA,"210","19","18.0","800","760","760","19","0",NA,"650",NA,"50.2","0",NA,NA,"0.08","140","0","28.2","117","490",NA,NA,NA,"70",NA,"4",NA,NA,"170","22",NA,NA,NA,"1","Tr","17",NA,NA,"220","33","2","3","3","8","2","7","2","Tr","19","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.24","0.08","0.27","0.6","4","0.59","0.24","0.01","0.06","0.08","0.27","32","0","1400","320","110",NA,"3.6","230","410","0.9","290","520","0.19","110",NA,"Energy: tentative value","1.0",NA,"0.14000000000000001","250","190","4800","330","6.5","5.2","6.5","5.2","Estimation from 09017","0","64","0.28000000000000003","5.3",NA,"250","2100","0.33","280","0.6","75","120","310","0","0.02","0","150","24.4","1.1000000000000001"
"43","Saccharina religiosa　","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kezuri-kombu"" (dried and thinly shaved)",9,"0","-",NA,NA,"460","0","0.8","6100","380","250",NA,NA,"210","19","18.0","800","760","760","19","0",NA,"650",NA,"50.2","0",NA,NA,"0.08","140","0","28.2","117","490",NA,NA,NA,"70",NA,"4",NA,NA,"170","22",NA,NA,NA,"1","Tr","17",NA,NA,"220","33","2","3","3","8","2","7","2","Tr","19","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.24","0.08","0.27","0.6","4","0.59","0.24","0.01","0.06","0.08","0.27","32","0","1400","320","110",NA,"3.6","230","410","0.9","290","520","0.19","110",NA,"Energy: tentative value","1.0",NA,"0.14000000000000001","250","190","4800","330","6.5","5.2","6.5","5.2","Estimation from 09017","0","64","0.28000000000000003","5.3",NA,"250","2100","0.33","280","0.6","75","120","310","0","0.02","0","150","24.4","1.1000000000000001"
"44","Saccharina longissima","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Kezuri-kombu"" (dried and thinly shaved)",9,"0","-",NA,NA,"460","0","0.8","6100","380","250",NA,NA,"210","19","18.0","800","760","760","19","0",NA,"650",NA,"50.2","0",NA,NA,"0.08","140","0","28.2","117","490",NA,NA,NA,"70",NA,"4",NA,NA,"170","22",NA,NA,NA,"1","Tr","17",NA,NA,"220","33","2","3","3","8","2","7","2","Tr","19","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.24","0.08","0.27","0.6","4","0.59","0.24","0.01","0.06","0.08","0.27","32","0","1400","320","110",NA,"3.6","230","410","0.9","290","520","0.19","110",NA,"Energy: tentative value","1.0",NA,"0.14000000000000001","250","190","4800","330","6.5","5.2","6.5","5.2","Estimation from 09017","0","64","0.28000000000000003","5.3",NA,"250","2100","0.33","280","0.6","75","120","310","0","0.02","0","150","24.4","1.1000000000000001"
"45","Saccharina sculpera","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Gagome-kombu"", dried",9,"0","-","Estimation from 09017",NA,"560","0","0.6","7400","460","310",NA,NA,"260","0","21.2","970","1200","1200","29","0",NA,"750",NA,"62.1","0",NA,NA,"0.03","170","0","34.200000000000003","142","594",NA,NA,NA,"35",NA,"2",NA,NA,"80","10",NA,NA,NA,"1","1","8",NA,NA,"100","28","8","6","14","3",NA,NA,"2","2","39","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.11","0.12","0.13","0.4",NA,"0.36","0.11","0.04","0.07","0.12","0.13","42","0","1700","390","140",NA,"3.3","270","500","0.5","350","660","0.22","130",NA,"Energy: tentative value","1.5",NA,"0.13","300","320","5700","410","7.9","6.3","7.9","6.3","Estimation from 09017","0","98","0.32","7.6",NA,"300","3000","0.21","340","0.4","91","150","380","0","0.03","0","170","8.3000000000000007","0.8"
"46","Saccharina diabolica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Gagome-kombu"", dried",9,"0","-","Estimation from 09017",NA,"560","0","0.6","7400","460","310",NA,NA,"260","0","21.2","970","1200","1200","29","0",NA,"750",NA,"62.1","0",NA,NA,"0.03","170","0","34.200000000000003","142","594",NA,NA,NA,"35",NA,"2",NA,NA,"80","10",NA,NA,NA,"1","1","8",NA,NA,"100","28","8","6","14","3",NA,NA,"2","2","39","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.11","0.12","0.13","0.4",NA,"0.36","0.11","0.04","0.07","0.12","0.13","42","0","1700","390","140",NA,"3.3","270","500","0.5","350","660","0.22","130",NA,"Energy: tentative value","1.5",NA,"0.13","300","320","5700","410","7.9","6.3","7.9","6.3","Estimation from 09017","0","98","0.32","7.6",NA,"300","3000","0.21","340","0.4","91","150","380","0","0.03","0","170","8.3000000000000007","0.8"
"47","Saccharina angustata","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Gagome-kombu"", dried",9,"0","-","Estimation from 09017",NA,"560","0","0.6","7400","460","310",NA,NA,"260","0","21.2","970","1200","1200","29","0",NA,"750",NA,"62.1","0",NA,NA,"0.03","170","0","34.200000000000003","142","594",NA,NA,NA,"35",NA,"2",NA,NA,"80","10",NA,NA,NA,"1","1","8",NA,NA,"100","28","8","6","14","3",NA,NA,"2","2","39","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.11","0.12","0.13","0.4",NA,"0.36","0.11","0.04","0.07","0.12","0.13","42","0","1700","390","140",NA,"3.3","270","500","0.5","350","660","0.22","130",NA,"Energy: tentative value","1.5",NA,"0.13","300","320","5700","410","7.9","6.3","7.9","6.3","Estimation from 09017","0","98","0.32","7.6",NA,"300","3000","0.21","340","0.4","91","150","380","0","0.03","0","170","8.3000000000000007","0.8"
"48","Saccharina japonica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Gagome-kombu"", dried",9,"0","-","Estimation from 09017",NA,"560","0","0.6","7400","460","310",NA,NA,"260","0","21.2","970","1200","1200","29","0",NA,"750",NA,"62.1","0",NA,NA,"0.03","170","0","34.200000000000003","142","594",NA,NA,NA,"35",NA,"2",NA,NA,"80","10",NA,NA,NA,"1","1","8",NA,NA,"100","28","8","6","14","3",NA,NA,"2","2","39","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.11","0.12","0.13","0.4",NA,"0.36","0.11","0.04","0.07","0.12","0.13","42","0","1700","390","140",NA,"3.3","270","500","0.5","350","660","0.22","130",NA,"Energy: tentative value","1.5",NA,"0.13","300","320","5700","410","7.9","6.3","7.9","6.3","Estimation from 09017","0","98","0.32","7.6",NA,"300","3000","0.21","340","0.4","91","150","380","0","0.03","0","170","8.3000000000000007","0.8"
"49","Saccharina ochotensis","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Gagome-kombu"", dried",9,"0","-","Estimation from 09017",NA,"560","0","0.6","7400","460","310",NA,NA,"260","0","21.2","970","1200","1200","29","0",NA,"750",NA,"62.1","0",NA,NA,"0.03","170","0","34.200000000000003","142","594",NA,NA,NA,"35",NA,"2",NA,NA,"80","10",NA,NA,NA,"1","1","8",NA,NA,"100","28","8","6","14","3",NA,NA,"2","2","39","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.11","0.12","0.13","0.4",NA,"0.36","0.11","0.04","0.07","0.12","0.13","42","0","1700","390","140",NA,"3.3","270","500","0.5","350","660","0.22","130",NA,"Energy: tentative value","1.5",NA,"0.13","300","320","5700","410","7.9","6.3","7.9","6.3","Estimation from 09017","0","98","0.32","7.6",NA,"300","3000","0.21","340","0.4","91","150","380","0","0.03","0","170","8.3000000000000007","0.8"
"50","Saccharina religiosa　","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Gagome-kombu"", dried",9,"0","-","Estimation from 09017",NA,"560","0","0.6","7400","460","310",NA,NA,"260","0","21.2","970","1200","1200","29","0",NA,"750",NA,"62.1","0",NA,NA,"0.03","170","0","34.200000000000003","142","594",NA,NA,NA,"35",NA,"2",NA,NA,"80","10",NA,NA,NA,"1","1","8",NA,NA,"100","28","8","6","14","3",NA,NA,"2","2","39","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.11","0.12","0.13","0.4",NA,"0.36","0.11","0.04","0.07","0.12","0.13","42","0","1700","390","140",NA,"3.3","270","500","0.5","350","660","0.22","130",NA,"Energy: tentative value","1.5",NA,"0.13","300","320","5700","410","7.9","6.3","7.9","6.3","Estimation from 09017","0","98","0.32","7.6",NA,"300","3000","0.21","340","0.4","91","150","380","0","0.03","0","170","8.3000000000000007","0.8"
